week;weekday;hour;mbits
1st_week;sunday;0;49,6
1st_week;sunday;1;31,2
1st_week;sunday;2;55,5
1st_week;sunday;3;0,2
1st_week;sunday;4;13,8
1st_week;sunday;5;30,9
1st_week;sunday;6;12,1
1st_week;sunday;7;130,5
1st_week;sunday;8;206,3
1st_week;sunday;9;223,9
1st_week;sunday;10;114,3
1st_week;sunday;11;726,2
1st_week;sunday;12;82,6
1st_week;sunday;13;96,5
1st_week;sunday;14;588,5
1st_week;sunday;15;408,1
1st_week;sunday;16;236,5
1st_week;sunday;17;397
1st_week;sunday;18;261,5
1st_week;sunday;19;176,1
1st_week;sunday;20;181,6
1st_week;sunday;21;224,9
1st_week;sunday;22;219,3
1st_week;sunday;23;22
1st_week;monday;0;33,8
1st_week;monday;1;97,6
1st_week;monday;2;29,5
1st_week;monday;3;60,3
1st_week;monday;4;68,3
1st_week;monday;5;25
1st_week;monday;6;40,4
1st_week;monday;7;117,5
1st_week;monday;8;995,4
1st_week;monday;9;2445,7
1st_week;monday;10;510
1st_week;monday;11;103,5
1st_week;monday;12;374,8
1st_week;monday;13;902,8
1st_week;monday;14;2655,9
1st_week;monday;15;1214,1
1st_week;monday;16;2548
1st_week;monday;17;522,7
1st_week;monday;18;705,2
1st_week;monday;19;2041,5
1st_week;monday;20;1356
1st_week;monday;21;25,5
1st_week;monday;22;1995,1
1st_week;monday;23;478,1
1st_week;tuesday;0;55,3
1st_week;tuesday;1;88,6
1st_week;tuesday;2;50,4
1st_week;tuesday;3;58,3
1st_week;tuesday;4;5,8
1st_week;tuesday;5;35,8
1st_week;tuesday;6;10,3
1st_week;tuesday;7;182,6
1st_week;tuesday;8;2051,3
1st_week;tuesday;9;684,9
1st_week;tuesday;10;41,1
1st_week;tuesday;11;47,8
1st_week;tuesday;12;277,8
1st_week;tuesday;13;2130,1
1st_week;tuesday;14;2689,9
1st_week;tuesday;15;1793,7
1st_week;tuesday;16;1734,4
1st_week;tuesday;17;1740,8
1st_week;tuesday;18;460,1
1st_week;tuesday;19;1029,3
1st_week;tuesday;20;1662,8
1st_week;tuesday;21;700,5
1st_week;tuesday;22;1722,8
1st_week;tuesday;23;268,1
1st_week;wednesday;0;65,2
1st_week;wednesday;1;55,7
1st_week;wednesday;2;74,2
1st_week;wednesday;3;50,4
1st_week;wednesday;4;72,3
1st_week;wednesday;5;97,3
1st_week;wednesday;6;18,9
1st_week;wednesday;7;49,3
1st_week;wednesday;8;1356
1st_week;wednesday;9;146,7
1st_week;wednesday;10;2623,9
1st_week;wednesday;11;2381,1
1st_week;wednesday;12;2384,1
1st_week;wednesday;13;2347,6
1st_week;wednesday;14;1433
