"Código.IBGE.Município";"Municípios.da.Amunorpi";"População.residente..2022.";"IDH.M..2000.";"IDH.M..2010.";"PIB.per.capita..2019.";"PIB.per.capita..2020.";"Município";"UF"
4100103;"ABATIÁ";7241;NA;0,687;"25.295,78";"32.365,02";NA;NA
4101101;"ANDIRÁ";19878;NA;0,725;"37.723,60";"39.411,87";NA;NA
4101903;"ASSAÍ";13797;NA;0,728;"29.054,01";"33.138,39";NA;NA
4102406;"BANDEIRANTES";31273;NA;0,727;"25.816,20";"32.178,42";NA;NA
4102703;"BARRA DO JACARÉ";2184;NA;0,744;"29.227,72";"44.296,46";NA;NA
4103602;"CAMBARÁ";23210;NA;0,751;"30.052,91";"31.395,74";NA;NA
4104709;"CARLÓPOLIS";16905;NA;0,713;"24.445,37";"27.951,87";NA;NA
4106001;"CONGONHINHAS";8320;NA;0,668;"22.623,76";"29.826,16";NA;NA
4106100;"CONSELHEIRO MAIRINK";3461;NA;0,707;"27.050,56";"30.444,44";NA;NA
4106407;"CORNÉLIO PROCÓPIO";45206;NA;0,759;"35.292,50";"36.570,29";NA;NA
4107009;"CURIÚVA";13647;NA;0,656;"14.755,89";"15.267,41";NA;NA
4107751;"FIGUEIRA";8062;NA;0,677;"17.345,17";"17.983,88";NA;NA
4109005;"GUAPIRAMA";4626;NA;0,702;"27.348,21";"36.687,94";NA;NA
4109708;"IBAITI";28830;NA;0,71;"22.216,25";"24.357,42";NA;NA
4111001;"ITAMBARACÁ";5908;NA;0,694;"23.987,20";"31.137,03";NA;NA
4111704;"JABOTI";5427;NA;0,718;"20.685,25";"23.427,22";NA;NA
4111803;"JACAREZINHO";40375;NA;0,743;"32.325,23";"36.380,60";NA;NA
4112306;"JAPIRA";4972;NA;0,696;"21.071,69";"23.778,00";NA;NA
4112702;"JATAIZINHO";11813;NA;0,687;"17.944,76";"19.544,75";NA;NA
4112801;"JOAQUIM TÁVORA";11945;NA;0,7;"48.718,99";"54.389,11";NA;NA
4112900;"JUNDIAÍ DO SUL";3333;NA;0,688;"24.448,76";"35.050,43";NA;NA
4113403;"LEÓPOLIS";3752;NA;0,707;"34.913,95";"47.861,74";NA;NA
4116604;"NOVA AMÉRICA DA COLINA";3280;NA;0,698;"22.000,64";"27.833,90";NA;NA
4117008;"NOVA FÁTIMA";7225;NA;0,688;"26.484,37";"34.594,62";NA;NA
4117214;"NOVA SANTA BÁRBARA";4184;NA;0,68;"19.120,69";"21.438,71";NA;NA
4119202;"PINHALÃO";6566;NA;0,697;"24.295,12";"29.747,08";NA;NA
4120705;"QUATIGUÁ";8099;NA;0,714;"26.103,04";"26.402,41";NA;NA
4121307;"RANCHO ALEGRE";3512;NA;0,707;"31.642,57";"43.078,86";NA;NA
4121802;"RIBEIRÃO CLARO";12364;NA;0,716;"39.223,21";"43.189,21";NA;NA
4121901;"RIBEIRÃO DO PINHAL";13060;NA;0,701;"18.064,77";"24.754,24";NA;NA
4122909;"SALTO DO ITARARÉ";5192;NA;0,704;"15.573,67";"20.778,51";NA;NA
4124004;"SANTANA DO ITARARÉ";5514;NA;0,687;"22.862,90";"29.472,35";NA;NA
4123105;"SANTA AMÉLIA";3394;NA;0,653;"33.874,28";"53.484,21";NA;NA
4123204;"SANTA CECÍLIA DO PAVÃO";3365;NA;0,723;"31.133,89";"37.833,99";NA;NA
4123907;"SANTA MARIANA";11066;NA;0,7;"19.784,16";"27.977,84";NA;NA
4124103;"SANTO ANTÔNIO DA PLATINA";44369;NA;0,718;"27.059,87";"28.974,82";NA;NA
4124301;"SANTO ANTÔNIO DO PARAÍSO";2125;NA;0,716;"32.926,90";"44.168,40";NA;NA
4124707;"SÃO JERÔNIMO DA SERRA";10830;NA;0,637;"19.030,60";"25.647,45";NA;NA
4125407;"SÃO JOSÉ DA BOA VISTA";6040;NA;0,671;"23.561,15";"30.567,79";NA;NA
4126009;"SÃO SEBASTIÃO DA AMOREIRA";8063;NA;0,715;"24.932,00";"30.567,79";NA;NA
4126207;"SAPOPEMA";6695;NA;0,655;"15.982,39";"30.567,79";NA;NA
4126405;"SERTANEJA";5616;NA;0,725;"54.171,54";"66.225,62";NA;NA
4126603;"SIQUEIRA CAMPOS";22811;NA;0,704;"26.449,21";"27.837,62";NA;NA
4127809;"TOMAZINA";8426;NA;0,699;"25.477,93";"33.530,97";NA;NA
4128401;"URAÍ";10406;NA;0,721;"24.076,75";"29.456,45";NA;NA
4128500;"WENCESLAU BRAZ";19188;NA;0,687;"2.863,76";"32.072,85";NA;NA

